0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2591394, 0.0000000, 0.2594852, 0.0000000, 0.2594852
0.0640872, 0.2333303, 0.0672310, 0.1173948, 0.0773078, 0.0372640, 0.0733941, 0.0220864, 0.0765798, 0.0204941, 0.0935049, 0.0203342, 0.0841750, 0.0203388, 0.0891254, 0.0200834, 0.1106725, 0.0211519, 0.1332498, 0.0210094
0.1362453, 0.2179928, 0.1439531, 0.0871633, 0.1613673, 0.0265114, 0.1706076, 0.0165993, 0.1663552, 0.0157863, 0.1873765, 0.0151611, 0.1723994, 0.0152165, 0.1905464, 0.0153001, 0.2376202, 0.0156995, 0.2781009, 0.0158870
0.2067883, 0.2074303, 0.2204290, 0.0715588, 0.2316033, 0.0212661, 0.2467567, 0.0135899, 0.2556119, 0.0127338, 0.2785185, 0.0127146, 0.2570567, 0.0124573, 0.2879338, 0.0123221, 0.3477236, 0.0131431, 0.4115123, 0.0135882
0.2713163, 0.1997547, 0.2961293, 0.0617108, 0.3013669, 0.0179384, 0.3193927, 0.0117442, 0.3444846, 0.0112841, 0.3710358, 0.0106142, 0.3506238, 0.0107653, 0.3771487, 0.0105497, 0.4587769, 0.0112883, 0.5347035, 0.0112954
0.3355283, 0.1940170, 0.3729357, 0.0549015, 0.3713860, 0.0155413, 0.3932455, 0.0103049, 0.4303020, 0.0096389, 0.4618355, 0.0097407, 0.4463437, 0.0094682, 0.4666735, 0.0094589, 0.5686493, 0.0102111, 0.6708674, 0.0104855
0.4067779, 0.1896475, 0.4406748, 0.0498388, 0.4411853, 0.0138368, 0.4659362, 0.0091910, 0.5065902, 0.0086123, 0.5540001, 0.0086273, 0.5305848, 0.0083549, 0.5569655, 0.0086256, 0.6786688, 0.0091520, 0.7939316, 0.0092214
0.4706580, 0.1862482, 0.5085633, 0.0459618, 0.5114271, 0.0124970, 0.5383962, 0.0085732, 0.5976081, 0.0079498, 0.6356530, 0.0078596, 0.6149967, 0.0078113, 0.6511173, 0.0076818, 0.7954482, 0.0085568, 0.9277045, 0.0090511
0.5351290, 0.1835849, 0.5801434, 0.0428437, 0.5813875, 0.0114704, 0.6113916, 0.0078213, 0.6741245, 0.0074904, 0.7157013, 0.0076035, 0.6996079, 0.0072829, 0.7407069, 0.0072465, 0.9061352, 0.0078393, 1.0517099, 0.0079995
0.5984154, 0.1814738, 0.6474963, 0.0402975, 0.6518427, 0.0106152, 0.6841946, 0.0072624, 0.7503050, 0.0067819, 0.8087025, 0.0069463, 0.7889771, 0.0067290, 0.8297685, 0.0068144, 1.0320598, 0.0075445, 1.1874363, 0.0076133
0.6622076, 0.1797847, 0.7181045, 0.0382001, 0.7222178, 0.0098700, 0.7622784, 0.0069002, 0.8374390, 0.0065366, 0.9026262, 0.0063498, 0.8716864, 0.0065008, 0.9195035, 0.0064604, 1.1418061, 0.0070116, 1.3113314, 0.0068667
0.7259160, 0.1784275, 0.7849139, 0.0363876, 0.7926031, 0.0092536, 0.8346248, 0.0064104, 0.9138414, 0.0060599, 0.9866656, 0.0061500, 0.9563639, 0.0061049, 1.0218979, 0.0058838, 1.2526676, 0.0066450, 1.4347397, 0.0067499
0.7902724, 0.1773292, 0.8574742, 0.0348497, 0.8635642, 0.0087232, 0.9130781, 0.0060531, 0.9932413, 0.0058515, 1.0791591, 0.0058425, 1.0487235, 0.0056847, 1.1111730, 0.0058915, 1.3630669, 0.0065483, 1.5722138, 0.0065488
0.8536995, 0.1764380, 0.9256283, 0.0335196, 0.9371844, 0.0082797, 0.9982058, 0.0057697, 1.0862261, 0.0055247, 1.1711826, 0.0056036, 1.1333650, 0.0054395, 1.2013127, 0.0054777, 1.4737513, 0.0063736, 1.7071516, 0.0062563
0.9189214, 0.1757122, 0.9931215, 0.0323562, 1.0075952, 0.0078165, 1.0708983, 0.0055910, 1.1634202, 0.0053523, 1.2634007, 0.0052010, 1.2163877, 0.0052783, 1.2895234, 0.0053547, 1.5848599, 0.0059854, 1.8303877, 0.0058156
0.9823924, 0.1751190, 1.0606925, 0.0313327, 1.0821012, 0.0075068, 1.1429026, 0.0053860, 1.2403799, 0.0050961, 1.3448773, 0.0050417, 1.3018854, 0.0049993, 1.3834042, 0.0051026, 1.7099052, 0.0058791, 1.9655612, 0.0057862
1.0467915, 0.1746325, 1.1311353, 0.0304000, 1.1521798, 0.0071947, 1.2206791, 0.0051627, 1.3294805, 0.0048897, 1.4314146, 0.0047724, 1.3873753, 0.0047722, 1.4724737, 0.0048631, 1.8201985, 0.0056102, 2.0994978, 0.0055064
1.1099943, 0.1742345, 1.1993159, 0.0295672, 1.2225346, 0.0069058, 1.2932566, 0.0049668, 1.4192140, 0.0047386, 1.5134905, 0.0046731, 1.4735705, 0.0046063, 1.5705956, 0.0047556, 1.9316388, 0.0054802, 2.2235949, 0.0053182
1.1741400, 0.1739070, 1.2685232, 0.0288287, 1.2931222, 0.0066312, 1.3665222, 0.0047375, 1.5089658, 0.0045678, 1.5938993, 0.0045347, 1.5593910, 0.0044827, 1.6601061, 0.0045518, 2.0485064, 0.0052132, 2.3594353, 0.0051678
1.2570058, 0.1736368, 1.3363021, 0.0281489, 1.3634102, 0.0064079, 1.4388454, 0.0045384, 1.5862620, 0.0043143, 1.6860501, 0.0043016, 1.6449117, 0.0043234, 1.7502114, 0.0045690, 2.1587202, 0.0050305, 2.4829266, 0.0050395
1.3233730, 0.1734148, 1.4048027, 0.0275502, 1.4340797, 0.0061714, 1.5112378, 0.0043967, 1.6725102, 0.0042615, 1.7776634, 0.0043130, 1.7296688, 0.0041898, 1.8454773, 0.0043374, 2.2691769, 0.0049829, 2.6067660, 0.0050957
