0.0000000, 0.2591394
0.1021308, 0.0323486
0.2045266, 0.0263828
0.3062246, 0.0231731
0.4087483, 0.0210083
0.5114824, 0.0193906
0.6248783, 0.0181083
0.7139271, 0.0170521
0.8045210, 0.0161586
0.8939323, 0.0153876
0.9977159, 0.0147121
1.0998191, 0.0141133
1.1897629, 0.0135772
1.2937074, 0.0130934
1.3973448, 0.0126538
1.4879755, 0.0122521
1.5865562, 0.0118831
1.6756403, 0.0115427
1.7661937, 0.0112274
1.8552265, 0.0109343
1.9582003, 0.0106609
2.0597155, 0.0104053
2.1609391, 0.0101656
2.2527210, 0.0099403
2.3440478, 0.0097281
2.4478985, 0.0095277
2.5519780, 0.0093382
2.6429975, 0.0091586
2.7421590, 0.0089882
2.8451867, 0.0088261
2.9490928, 0.0086718
3.0541071, 0.0085247
3.1458339, 0.0083843
3.2474910, 0.0082501
3.3497949, 0.0081216
3.4527005, 0.0079985
3.5558631, 0.0078805
3.6681695, 0.0077672
3.7570479, 0.0076582
3.8592302, 0.0075535
3.9498119, 0.0074526
